scheme_id,benefit_id,benefit_section,benefit
S049,S049-B001,,"Under the scheme, interest subsidy on education loans is provided for a maximum amount of ₹10 lakhs (Even sanctioned loan amount in excess of ₹10 lakhs would qualify for interest subsidy up to ₹10 lakhs only)."
S049,S049-B002,,"In the scheme, no collateral security or third-party guarantee is required for Education Loans sanctioned upto ₹7.5 lakhs. The lonee bank is to ensure that this part of the loan is covered for guarantee under Credit Guarantee Fund Scheme for Education Loan (CGFSEL)."
S049,S049-B003,,The interest subsidy is allowed for pursuing higher education in professional/technical courses only from NAAC accredited Institutions or professional/technical programmes accredited by NBA or Institutions of National Importance or Centrally Funded Technical Institutions (CFTIs) in India.
S049,S049-B004,,Interest Rates:***
S049,S049-B005,,The interest rates charged on the educational loan shall be as per the Benchmark Prime Lending Rate (BPLR)/Base Rate of the individual banks and as per the provisions for interest rates under the IBA Model Educational Loan Scheme.
S049,S049-B006,,Moratorium Period:***
S049,S049-B007,,"Under the Scheme, the moratorium period is defined as a Course Period plus one year. Interest for only the moratorium period, at a simple rate of interest, will be borne by the Government of India, subject to the condition that the student completes the course of study successfully."
S049,S049-B008,,"After the period of moratorium, the interest on the outstanding loan amount shall be paid by the student, in accordance with the provisions of the existing Model Educational Loan Scheme of Banks and as may be amended from time to time."
S049,S049-B009,,Interest Concession:***
S049,S049-B010,,"Under the IBA Scheme, 2021, Banks at its discretion may provide a 1% interest concession if interest is serviced during the study period and subsequent moratorium period prior to commencement of repayment. However, the subvention provided by the Government should not be a cause for providing a 1% concession in the rate of interest."
S050,S050-B001,,"**Affordable Premiums:** The maximum premium payable by the farmer will be 2% for the Kharif food and oilseed crops. For rabi food and oilseeds crop, it is 1.5% and for yearly commercial or horticultural crops it will be 5%. The remaining premium is subsidized by the government."
S050,S050-B002,,"\* For the farmers in North-Eastern States, Jammu, Kashmir, and Himachal Pradesh, the government also pays the entire premium."
S050,S050-B003,,"Comprehensive Coverage:** The scheme covers natural disasters (droughts, floods), pests, and diseases. Post-harvest losses due to local risks like hailstorms and landslides are also included."
S050,S050-B004,,"Timely Compensation:** PMFBY aims to process claims within two months of the harvest to ensure that farmers get the compensation quickly, preventing them from falling into debt traps."
S050,S050-B005,,"Technology-Driven Implementation:** PMFBY integrates advanced technologies like satellite imaging, drones, and mobile apps for precise estimation of crop loss, ensuring accurate claim settlements."
S050,S050-B006,,RISKS COVERED***
S050,S050-B007,,"**Yield Losses (Standing Crops):** The Government provides this insurance coverage for yield losses that fall under the non-preventable risks, such as Natural Fire and Lightning: Storm, Hailstorm, Tornado etc.:  Flood, Inundation and Landslide;  Pests/ Diseases, etc.; Drought etc."
S050,S050-B008,,"**Prevented Sowing:** Cases may arise where most of the farmers (insured )of notified areas may want to plant or sow. In such cases, they have to bear the expenditure for that cause and are restricted from planting or sowing insured crops because of unfavourable weather conditions. These farmers will then become eligible for the indemnity claims of up to a maximum of 25% of the sum insured."
S050,S050-B009,,**Post-harvest Losses:** The Government provides for post-harvest losses on an individual farm basis. The Government offers coverage of up to 14 days (maximum) from harvesting for crops that are stored in “cut and spread” condition. It means that the Government covers farmers who have put the crops to become sun-baked in the field after harvesting that have been destroyed due to cyclone or cyclonic rains occurred across the country.
S050,S050-B010,,"**Localised Calamities:** The Government provides for localised calamities on an individual farm basis. Risks such as loss or damage arising from identified localised hazards, such as hailstorms, landslides, and inundation impacting separated farmlands in the notified area comes under this coverage."
